"","Sample_ID","Target","Ct","SD"
"65","17","UV_0356/0772",16.430085,0.275927502512888
"85","18","UV_0356/0772",17.2682663333333,0.280940793877167
"105","19","UV_0356/0772",21.820512,0.267667739656836
"125","20","UV_0356/0772",22.359068,0.269334410926269
"145","21","UV_0356/0772",32.7113976666667,0.472347873051564
"165","22","UV_0356/0772",16.7672333333333,0.113346514072262
"185","23","UV_0356/0772",16.8375385,0.0886945248845729
"205","24","UV_0356/0772",18.4900935,0.166415459631908
"225","25","UV_0356/0772",16.818673,0.1354081201701
"244","26","UV_0356/0772",16.395137,0.0923764298942128
"264","27","UV_0356/0772",15.2493455,0.13130902215956
"284","28","UV_0356/0772",17.7042875,0.119023748943225
"120","29","actin_0113/0114",24.8089226666667,0.0479299099136783
"36","30","actin_0113/0114",22.4906186666667,0.159999649616284
"56","31","actin_0113/0114",24.3077113333333,0.138161925313502
"76","32","actin_0113/0114",21.9868833333333,0.255111042750669
"96","33","actin_0113/0114",22.6812526666667,0.0710735913707286
"1110","34","actin_0113/0114",24.2217923333333,0.12445417355932
"136","35","actin_0113/0114",24.76019,0.118383849789573
"156","36","actin_0113/0114",25.3084103333333,0.256921088597906
"176","37","actin_0113/0114",22.2517966666667,0.155819510518848
"196","38","actin_0113/0114",21.8318063333333,0.053801848688808
"2110","39","actin_0113/0114",25.3253636666667,0.128823434984995
"235","40","actin_0113/0114",23.6317346666667,0.24141677383797
"255","41","actin_0113/0114",25.560363,0.185460399053276
"275","42","actin_0113/0114",NA,0
"293","43","actin_0113/0114",26.6593743333333,0.156627199433347
"220","29","UV_0356/0772",18.3153915,0.188248088607826
"46","30","UV_0356/0772",14.7585566666667,0.224667825592214
"66","31","UV_0356/0772",17.3877393333333,0.353502092950428
"86","32","UV_0356/0772",28.3357386666667,0.491268208448637
"106","33","UV_0356/0772",23.9915746666667,0.112841784354614
"126","34","UV_0356/0772",26.5744733333333,0.130311266283208
"146","35","UV_0356/0772",29.141325,0.166501840767602
"166","36","UV_0356/0772",29.2961916666667,0.125309096869833
"186","37","UV_0356/0772",30.0982706666667,0.313211482851975
"206","38","UV_0356/0772",19.8366053333333,0.150815954170417
"226","39","UV_0356/0772",29.748319,0.203155242002269
"245","40","UV_0356/0772",27.9921136666667,0.175689078844797
"265","41","UV_0356/0772",26.6794736666667,0.313340996462852
"285","42","UV_0356/0772",NA,0.098376433067071
"303","43","UV_0356/0772",27.710034,0.228680229735759
"127","44","actin_0113/0114",24.1527476666667,0.117994300711234
"37","45","actin_0113/0114",25.0330213333333,0.0456048798412339
"57","46","actin_0113/0114",21.6504496666667,0.0352251835528698
"77","47","actin_0113/0114",23.1785533333333,0.133125320665653
"97","48","actin_0113/0114",23.270849,0.0834096378304089
"1111","49","actin_0113/0114",22.2470256666667,0.112568526264375
"137","50","actin_0113/0114",24.3055416666667,0.110790775041668
"157","51","actin_0113/0114",24.546047,0.115755282466935
"177","52","actin_0113/0114",23.6742966666667,0.0348657802627912
"197","53","actin_0113/0114",21.0699696666667,0.0922731786942082
"2111","54","actin_0113/0114",22.1627276666667,0.0894752281155696
"236","55","actin_0113/0114",24.9996306666667,0.117977412136109
"256","56","actin_0113/0114",22.9260433333333,0.0408917607512001
"276","57","actin_0113/0114",24.920411,0.0390888355288316
"294","58","actin_0113/0114",24.0266646666667,0.0471699798000106
"227","44","UV_0356/0772",27.5699463333333,0.130806836267579
"47","45","UV_0356/0772",28.880198,0.0721927896399635
"67","46","UV_0356/0772",19.2195,0.00479418397644417
"87","47","UV_0356/0772",28.3004596666667,0.293742957739132
"107","48","UV_0356/0772",26.3032893333333,0.293965704709468
"128","49","UV_0356/0772",27.324898,0.189475853271598
"147","50","UV_0356/0772",19.2246663333333,0.345364224227602
"167","51","UV_0356/0772",29.55654,0.199988283344302
"187","52","UV_0356/0772",28.781542,0.17326325187702
"207","53","UV_0356/0772",14.287043,0.0947437145091959
"228","54","UV_0356/0772",14.6218235,0.113111297151302
"246","55","UV_0356/0772",19.2114413333333,0.153338427699431
"266","56","UV_0356/0772",14.9541193333333,0.0626663338670242
"286","57","UV_0356/0772",18.03965,0.0809920107171083
"304","58","UV_0356/0772",17.4010085,0.0924393623977378
"129","59","actin_0113/0114",23.8879196666667,0.0837251237821321
"38","60","actin_0113/0114",25.4433773333333,0.148046639496929
"58","61","actin_0113/0114",23.643584,0.0656282911022373
"78","62","actin_0113/0114",24.322198,0.162877804405636
"98","63","actin_0113/0114",NA,0
"1112","64","actin_0113/0114",25.268383,0.122807778568787
