Sample_ID	Treatment	Picogreen	Negative	Hive	Box	HiveBox	Copy_num
H3B1_3	CL	11.65389718	FALSE	H3	B1	H3B1	729445613
H3B2_1	MD	3.659361052	FALSE	H3	B2	H3B2	2589008
H3B2_3	MD	7.383625415	FALSE	H3	B2	H3B2	925108
H3B3_1	CL_Bifi	5.907780782	FALSE	H3	B3	H3B3	597898823
H3B3_2	CL_Bifi	6.940872025	FALSE	H3	B3	H3B3	294361653
H3B3_4	CL_Bifi	5.065823516	FALSE	H3	B3	H3B3	205796486
H3B5_1	CL_13	13.69588549	FALSE	H3	B5	H3B5	1562189752
H3B5_2	CL_13	11.94906611	FALSE	H3	B5	H3B5	1136945546
H3B5_3	CL_13	11.52082922	FALSE	H3	B5	H3B5	1326976099
H3B6_2	MD	1.833481827	FALSE	H3	B6	H3B6	1129444
H4B3_1	CL_13	12.52246804	FALSE	H4	B3	H4B3	1235721171
H4B3_3	CL_13	14.90075538	FALSE	H4	B3	H4B3	1455569010
H4B3_4	CL_13	10.01353216	FALSE	H4	B3	H4B3	594177571
H4B4_1	MD	2.692375015	FALSE	H4	B4	H4B4	1256181
H4B4_4	MD	4.827535478	FALSE	H4	B4	H4B4	2327821
H4B4_7	MD	6.790868144	FALSE	H4	B4	H4B4	1456157
H4B5_1	CL_Bifi	3.466588593	FALSE	H4	B5	H4B5	692484648
H4B5_2	CL_Bifi	7.342495319	FALSE	H4	B5	H4B5	144942002
H4B5_3	CL_Bifi	5.842456511	FALSE	H4	B5	H4B5	201638871
H4B6_1	CL	12.78860396	FALSE	H4	B6	H4B6	1034767163
H4B6_2	CL	10.18047197	FALSE	H4	B6	H4B6	711306400
H4B6_3	CL	12.48375736	FALSE	H4	B6	H4B6	811370611
H5B1_1	CL_13	12.49827387	FALSE	H5	B1	H5B1	1212265638
H5B1_2	CL_13	8.808662282	FALSE	H5	B1	H5B1	1393657476
H5B1_3	CL_13	11.1700137	FALSE	H5	B1	H5B1	866901515
H5B2_1	CL_Bifi	5.830359424	FALSE	H5	B2	H5B2	182845618
H5B2_2	CL_Bifi	5.997299227	FALSE	H5	B2	H5B2	154494675
H5B2_3	CL_Bifi	4.923077887	FALSE	H5	B2	H5B2	136638650
H5B3_7	MD	2.227846868	FALSE	H5	B3	H5B3	350537
H5B4_2	CL	10.02562925	FALSE	H5	B4	H5B4	849604750
H5B4_3	CL	13.80233986	FALSE	H5	B4	H5B4	785117085
H5B4_4	CL	10.29902342	FALSE	H5	B4	H5B4	1238271222
H5B5_5	MD	1.69799445	FALSE	H5	B5	H5B5	1046403
H5B5_6	MD	3.346190886	FALSE	H5	B5	H5B5	993105
H6B1_1	MD	0.667322625	FALSE	H6	B1	H6B1	644560
H6B1_4	MD	3.701614169	FALSE	H6	B1	H6B1	3555024
H6B2_1	CL_13	8.10461181	FALSE	H6	B2	H6B2	809686907
H6B2_3	CL_13	11.32243699	FALSE	H6	B2	H6B2	1696059744
H6B2_5	CL_13	9.323998195	FALSE	H6	B2	H6B2	2342562332
H6B4_1	CL	10.34257293	FALSE	H6	B4	H6B4	801525326
H6B4_2	CL	12.44504668	FALSE	H6	B4	H6B4	1011186297
H6B4_3	CL	10.40063895	FALSE	H6	B4	H6B4	1085822825
H6B5_1	CL_Bifi	5.1746973	FALSE	H6	B5	H6B5	256824954
H6B5_2	CL_Bifi	5.704549718	FALSE	H6	B5	H6B5	214904210
H6B5_4	CL_Bifi	6.822320571	FALSE	H6	B5	H6B5	130199997
H6B6_2	MD	4.039990524	FALSE	H6	B6	H6B6	1040063
H7B1_1	CL_13	7.327978814	FALSE	H7	B1	H7B1	1334691708
